ITEM,DESCRIPTION,QUANTITY,UNIT PRICE,TOTAL PRICE,URL,RUNNING TOTAL ( with tax )
,,,,,,
PCB MANUFACTURE,PCB,5(minimum on jlpcb),3.50$,17.50$,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&spm=Jlcpcb.Homepage.1010,24.50$
,,,,,,
Seeed XIAO nRF52840,MICROCONTROLLER,2 ( one left and one right ),12.50$,25$,https://robocraze.com/products/seeed-studio-xiao-nrf52840-development-board-supports-bluetooth-5-0,49.50$
,,,,,,
Kailh MX Hotswap Sockets,SWITCH SOCKETS,Set of 50 ,0.10$,5$,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/kailh-hot-swap-socket/,54.50$
,,,,,,
Cherry MX Switches,SWITCH,Set of 50,0.36$,18$,https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/cherry-mx-rgb-switch/,72.50$
,,,,,,
Blank Keycaps 1.0u,KEYCAPS,Set of 50,0.20$,10$,https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/blank-dsa-keycaps-1u/,82.50$
,,,,,,
3.7V LiPo Batteries,BATTERIES,2 ( one left and one right ),2$,4$,https://www.amazon.in/Bhajanlal-Greenery-Rechargeable-Lithium-Batteries/dp/B0CYQ6H8FW?dib=eyJ2IjoiMSJ9.8oYfoS2YcXi9x73O_d0ZbsgE1WJVEUe2mg7MaxwMtUIn7xlHH7V4sNDloEjErV3XaYkbeJF3i1EpXLTLPvt9vQzGLh7RnsNehtfUityz8lOjab8lVDLpESypB3g45wRh7ydyclp1bCBTErB6qvFGIPmIlxIqVQEj1C4WKqKJpDkIfgN466PIArrZDc21259k4YUw10SEiPc5ZR2ePl32STFm0Zpnbv484CLwHjxHwQo.CW3aXqWDYkllYQKI2XjKAVfhxRuGctFQdJdayn3e_-4&dib_tag=se&keywords=lipo+battery+3.7v&qid=1764880052&sr=8-3,86.50$
,,,,,,
1N4148 - Fast Switching Diode SOD-323,DIODES,48,0.07$,3.50$,https://www.amazon.in/1N4148-Fast-Switching-Diode-Package/dp/B09NFPM2JF?crid=3KTXOLEIBETKG&dib=eyJ2IjoiMSJ9.8rGpNT1mJKDXXer4PthP5fkhCfidhSz8obawgHn-vq-KnE0V3aU8YlQ8C_1mQDaLND1fif4NhDburlHwvVIOJ6qH1c69wYauUPHuTtXZzjiMd7Xr2IWnUe5VeKoQZ_YmJ7Bq5nu9vYLNbN_zqCAm63OlB8mOFzmmL7Z1ZQyE9BwI8mM8j3-hbH4DWo3G-_A2RrMr3pVGV-se5mxCk9ckXFqw3DFPWyOcgQyIEda5hd8LLu7-g1M4T5oe0-dJDt3JCUy5U5NSJYpAVv3JaZtckzm6c2xS0SKvkXnCabbtmy0.Lg90pWHdHHiPZk035nwTYqtcesiP92mF3jOJZLviiNY&dib_tag=se&keywords=1n4148+diode&qid=1764880516&s=industrial&sprefix=1n4148+dio%2Cindustrial%2C235&sr=1-16,90$
,,,,,,
74HC165,SHIFT REGISTOR,1,2$,2$,https://www.amazon.in/gp/product/B0FXWVH5T1?smid=A3612B5TYXK81K&psc=1,92$
,,,,,,
SK16812 MINI,LED,10,,,,self sourced
,,,,,,
Joystick and breakout board,Joystick,1,3.50$,3.50$,https://www.amazon.in/Robocraze-Joystick-Breakout-Multi-Directional-High-Precision/dp/B073B647CW?dib=eyJ2IjoiMSJ9.cr5iAvQR51OUo5yWqC8OkyqSUFxAJW4SlV1QzJBNltx8AYWXcWKRKmDLczh2HJB_rGsM6YzmPqSeKYflMhvAjFa2ZhypxwwqwFF7aofKNfV67sBYEU-WTdnMNbXNpI1SDOdogEqZo8zXB_QS0_30Zv9rBRt1PiHpJIbr1UJkSmULK83suaSSi8PH1J0tU4v-MktpK881jlgu5lOsvTP2HU6nUA14g-Uizf060cSfFJw.hOhj4zI9qMdGVtIb0frLe2ka3vIBkPqGf_ME0yQWhG8&dib_tag=se&keywords=joystick&qid=1764882470&sr=8-5,93.50$
,,,,,,
,,,,,TOTAL,100$ approximate with shipping and 3d parts
